test_rod_01.TIFuCcm-2_widths [nm],test_rod_01.TIFuCcm-2_lengths [nm],test_rod_02.TIFuCcm-2_widths [nm],test_rod_02.TIFuCcm-2_lengths [nm],test_rod_03.TIFuCcm-2_widths [nm],test_rod_03.TIFuCcm-2_lengths [nm],test_rod_04.TIFuCcm-2_widths [nm],test_rod_04.TIFuCcm-2_lengths [nm]
106.08000000000001,388.3176,103.36000000000001,388.3176,87.04,388.3176,89.76,158.8572
106.08000000000001,388.3176,103.36000000000001,385.3758,89.76,386.8467,89.76,142.6773
106.08000000000001,388.3176,106.08000000000001,385.3758,89.76,385.3758,92.48,126.49740000000001
106.08000000000001,388.3176,106.08000000000001,385.3758,92.48,385.3758,92.48,110.31750000000001
106.08000000000001,388.3176,106.08000000000001,382.434,92.48,385.3758,95.2,91.1958
106.08000000000001,388.3176,106.08000000000001,382.434,95.2,385.3758,97.92,172.0953
106.08000000000001,388.3176,106.08000000000001,388.3176,96.56,385.3758,97.92,182.3916
106.08000000000001,388.3176,106.08000000000001,388.3176,97.92,382.434,99.28,197.10060000000001
106.08000000000001,388.3176,106.08000000000001,388.3176,97.92,382.434,100.64,208.86780000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,100.64,382.434,102.00000000000001,219.16410000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,100.64,379.4922,102.00000000000001,227.98950000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,100.64,379.4922,104.72000000000001,235.34400000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,103.36000000000001,379.4922,106.08000000000001,235.34400000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,103.36000000000001,376.5504,106.08000000000001,227.98950000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,103.36000000000001,376.5504,107.44000000000001,219.16410000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,103.36000000000001,373.6086,108.80000000000001,208.86780000000002
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,373.6086,110.16000000000001,197.10060000000001
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,370.6668,110.16000000000001,182.3916
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,370.6668,111.52000000000001,172.0953
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,367.725,111.52000000000001,158.8572
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,364.7832,112.88000000000001,142.6773
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,361.8414,112.88000000000001,126.49740000000001
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,361.8414,114.24000000000001,110.31750000000001
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,358.8996,114.24000000000001,91.1958
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,355.9578,115.60000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,353.016,116.96000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,350.0742,116.96000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,347.1324,118.32000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,118.32000000000001,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,119.68,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,388.3176,121.04,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,386.8467,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,121.04,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,385.3758,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,382.434,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,382.434,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,382.434,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,379.4922,123.76,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,379.4922,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,379.4922,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,376.5504,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,376.5504,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,373.6086,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,373.6086,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,370.6668,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,370.6668,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,367.725,123.76,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,364.7832,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,361.8414,123.76,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,361.8414,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,358.8996,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,355.9578,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,353.016,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,350.0742,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,347.1324,122.4,
106.08000000000001,388.3176,106.08000000000001,388.3176,106.08000000000001,,123.76,
106.08000000000001,388.3176,106.08000000000001,385.3758,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,385.3758,106.08000000000001,,123.76,
106.08000000000001,388.3176,106.08000000000001,385.3758,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,382.434,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,382.434,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,388.3176,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,123.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,121.04,
106.08000000000001,,106.08000000000001,,106.08000000000001,,122.4,
106.08000000000001,,106.08000000000001,,106.08000000000001,,121.04,
106.08000000000001,,106.08000000000001,,106.08000000000001,,119.68,
106.08000000000001,,106.08000000000001,,106.08000000000001,,119.68,
106.08000000000001,,106.08000000000001,,106.08000000000001,,119.68,
106.08000000000001,,106.08000000000001,,106.08000000000001,,119.68,
106.08000000000001,,106.08000000000001,,106.08000000000001,,118.32000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,118.32000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,116.96000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,116.96000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,115.60000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,114.24000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,114.24000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,112.88000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,112.88000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,111.52000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,111.52000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,110.16000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,110.16000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,108.80000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,107.44000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,106.08000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,106.08000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,104.72000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,102.00000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,102.00000000000001,
106.08000000000001,,106.08000000000001,,106.08000000000001,,100.64,
106.08000000000001,,106.08000000000001,,106.08000000000001,,99.28,
106.08000000000001,,106.08000000000001,,106.08000000000001,,97.92,
106.08000000000001,,106.08000000000001,,106.08000000000001,,97.92,
106.08000000000001,,106.08000000000001,,106.08000000000001,,95.2,
106.08000000000001,,106.08000000000001,,106.08000000000001,,92.48,
106.08000000000001,,106.08000000000001,,106.08000000000001,,92.48,
106.08000000000001,,106.08000000000001,,106.08000000000001,,89.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,89.76,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,106.08000000000001,,,
106.08000000000001,,106.08000000000001,,103.36000000000001,,,
106.08000000000001,,106.08000000000001,,103.36000000000001,,,
106.08000000000001,,106.08000000000001,,103.36000000000001,,,
106.08000000000001,,106.08000000000001,,103.36000000000001,,,
106.08000000000001,,106.08000000000001,,100.64,,,
106.08000000000001,,106.08000000000001,,100.64,,,
106.08000000000001,,106.08000000000001,,100.64,,,
106.08000000000001,,106.08000000000001,,97.92,,,
106.08000000000001,,106.08000000000001,,97.92,,,
106.08000000000001,,106.08000000000001,,96.56,,,
106.08000000000001,,106.08000000000001,,95.2,,,
106.08000000000001,,106.08000000000001,,92.48,,,
106.08000000000001,,106.08000000000001,,92.48,,,
106.08000000000001,,106.08000000000001,,89.76,,,
106.08000000000001,,106.08000000000001,,89.76,,,
106.08000000000001,,106.08000000000001,,87.04,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,106.08000000000001,,,,,
106.08000000000001,,103.36000000000001,,,,,
106.08000000000001,,103.36000000000001,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
106.08000000000001,,,,,,,
